file	XML.path	XML.uid	1C:Path
00.dml	SubList		70	Справочники/Pricelist/ФормаСписка
01.dml	SubList		62	Справочники/Goods/ПоПоставщикам
02.dml	SubList		28	Справочники/Goods/ФормаСписка
03.dml	SubList		25	Справочники/ОКЕИ/ФормаСписка
04.dml	SubList		15	Справочники/Валюта/ФормаСписка
05.dml	SubList		132	Справочники/Goods/ForSelection
06.dml	SubList		122	Справочники/PriceCGS/ПоПоставщикам
07.dml	SubList		121	Справочники/PriceCGS/ФормаСписка
08.dml	SubList		112	Справочники/PriceRGS/ПоПоставщикам
09.dml	SubList		111	Справочники/PriceRGS/ФормаСписка
0A.dml	SubFolder	99	Справочники/PriceRGS/Форма Группы?
0B.dml	SubFolder	27	Справочники/Goods/Форма Группы?
0C.dml	SubFolder	113	Справочники/PriceCGS/Форма Группы?
0D.dml	Subconto	99	Справочники/PriceRGS/Форма Элемента?
0E.dml	Subconto	27	Справочники/Goods/Форма Элемента?
0F.dml	Subconto	14	Справочники/Валюта/Форма Элемента?
10.dml	Subconto	113	Справочники/PriceCGS/Форма Элемента?
11.dml	Report		68	Отчеты/Dox_Nom
12.dml	Report		138	Отчеты/Temp
13.dml	Report		127	Отчеты/Update_Prices
14.dml	Journal		60	Журналы документов/PriceInCGS/ФормаСписка
15.dml	Journal		152	Журналы документов/PriceInRGS/ФормаСписка
16.dml	Document	38	Документы/PriceInCGS
17.dml	Document	139	Документы/PriceInRGS
18.dml	CalcVar		135	Обработки/R2C
19.dml	CalcVar		133	Обработки/SpeedTest
1A.dml	CalcVar		131	Обработки/MoveRef
1B.dml	CalcVar		130	Обработки/UpdatePrice
