// Отчетность за 4 квартал 2006 года;
AKCIZ.EXE;Акцизы
AKCIZN3.EXE;Акцизы на алкогольную продукцию, реализуемую оптом
AKCIZ5.EXE;Акцизы на нефтепродукты
AKCIZ9.EXE;Акцизы на подакцизное минеральное сырье
AKCIZN7.EXE;Акцизы на табачные изделия
BUH.EXE;Бухгалтерская отчетность
VODNAL.EXE;Водный налог
RPUNLD.EXE;Выгрузка данных в ИФНС
ESNN.EXE;Декларация по ЕСН
ZML.EXE;Декларация по земельному налогу
PFRN.EXE;Декларация по страховым взносам в ПФР
ALKO.EXE;Декларирование производства и оборота алк. продукции
DINORG.EXE;Доходы иностранной организации
DPZRF.EXE;Доходы, полученные за пределами РФ
ENVD.EXE;Единый налог на вмененный доход
ESELN.EXE;Единый сельскохозяйственный налог
ESNADV.EXE;ЕСН с доходов адвокатов
NIM.EXE;Имущество
KOSNAL.EXE;Косвенные налоги при ввозе товаров из Республики Беларусь
MINERAL.EXE;Налог на добычу полезных ископаемых
IGORN.EXE;Налог на игорный бизнес
USN.EXE;Налог, уплачиваемый по УСН
NDS.EXE;НДС
NDSP.EXE;НДС по ставке 0%
NEGVOZ.EXE;Негативное воздействие на окружающую среду
RPINORG.EXE;Отчет о деятельности иностранной организации в РФ
FUND.EXE;Отчеты в фонды
VODP.EXE;Плата за воду
NEDRA.EXE;Платежи за пользование недрами
PRB.EXE;Прибыль
PRINO.EXE;Прибыль иностранной организации
PRBSRP.EXE;Прибыль при выполнении СРП
38REGRPS.EXE;Региональная отчетность для Иркутсткой области и Усть-Ордынского Бурятского автономного округа
52REGRPS.EXE;Региональная отчетность для Нижегородской области
71REGRPS.EXE;Региональная отчетность для Тульской области
74REGRPS.EXE;Региональная отчетность для Челябинской области
VODRESN.EXE;Сбор за пользование объектами водных биологических ресурсов
FAUNAN.EXE;Сбор за пользование объектами животного мира
SERVICE.EXE;Служебные (инструкция, описание изменений и др.)
SPRAVKI.EXE;Справки
STAT.EXE;Статистика
TRANSN.EXE;Транспортный налог
